# AcneSafeCheck — full comedogenic ingredient database

> The complete AcneSafeCheck database: 559 cosmetic ingredients, each with a comedogenicity
> rating (0 = non-comedogenic / acne safe … 5 = highly pore-clogging) and a fungal-acne
> (Malassezia) trigger flag. Compiled from published comedogenicity references (Fulton et al.
> 1984, PMID 6229554; Draelos & DiNardo 2006, PMID 16488305; AAD guidance). A rating reflects
> an ingredient's potential at high concentration, not a verdict on any finished formula.
> Licence: CC BY 4.0 — cite acnesafecheck.com. Machine-readable: https://acnesafecheck.com/data/acnesafecheck-ingredients.json and .csv. Docs: https://acnesafecheck.com/data.html

Last updated: 2026-07-02

Format: Name | rating/5 | category | fungal-acne trigger yes/no | detail page
Gotu Kola Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/gotu-kola-extract.html
Grape Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/grape-extract.html
Grapefruit Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/grapefruit-extract.html
Grapeseed Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/grapeseed-oil.html
Green Tea Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/green-tea-extract.html
Guar Hydroxypropyltrimonium Chloride | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/guar-hydroxypropyltrimonium-chloride.html
Guarana Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/guarana-extract.html
Hamamelis Virginiana Water | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hamamelis-virginiana-water.html
Hawthorn Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hawthorn-extract.html
HDI/Trimethylol Hexyllactone Crosspolymer | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/hdi-trimethylol-hexyllactone-crosspolymer.html
Heartleaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/heartleaf-extract.html
Helichrysum Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/helichrysum-extract.html
Hemp Seed Oil | 0/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/hemp-seed-oil.html
Hexapeptide-9 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/hexapeptide-9.html
Hexylene Glycol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/hexylene-glycol.html
Hibiscus Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hibiscus-extract.html
Hippophae Rhamnoides Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hippophae-rhamnoides-extract.html
Holy Basil Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/holy-basil-extract.html
Homosalate | 1/5 | Sunscreen | FA-trigger: no | https://acnesafecheck.com/ingredient/homosalate.html
Honey Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/honey-extract.html
Hops Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hops-extract.html
Horsetail Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/horsetail-extract.html
Houttuynia Cordata Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/houttuynia-cordata-extract.html
Hyaluronic Acid | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/hyaluronic-acid.html
Hydrated Silica | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/hydrated-silica.html
Hydrogenated Castor Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/hydrogenated-castor-oil.html
Hydrogenated Lecithin | 1/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/hydrogenated-lecithin.html
Hydrolyzed Collagen | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hydrolyzed-collagen.html
Hydrolyzed Hyaluronic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/hydrolyzed-hyaluronic-acid.html
Hydrolyzed Silk | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hydrolyzed-silk.html
Hydrolyzed Wheat Protein | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/hydrolyzed-wheat-protein.html
Hydroxyethylcellulose | 0/5 | Thickener | FA-trigger: no | https://acnesafecheck.com/ingredient/hydroxyethylcellulose.html
Hydroxypropyl Cyclodextrin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/hydroxypropyl-cyclodextrin.html
Hydroxypropyl Guar | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/hydroxypropyl-guar.html
Idebenone | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/idebenone.html
Inositol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/inositol.html
Inulin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/inulin.html
Iron Oxides | 0/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/iron-oxides.html
Isocetyl Stearate | 5/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isocetyl-stearate.html
Isohexadecane | 1/5 | Ester | FA-trigger: no | https://acnesafecheck.com/ingredient/isohexadecane.html
Isononyl Isononanoate | 1/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isononyl-isononanoate.html
Isopentyldiol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/isopentyldiol.html
Isopropyl Alcohol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/isopropyl-alcohol.html
Isopropyl Isostearate | 5/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isopropyl-isostearate.html
Isopropyl Linoleate | 5/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isopropyl-linoleate.html
Isopropyl Myristate | 5/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isopropyl-myristate.html
Isopropyl Palmitate | 4/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isopropyl-palmitate.html
Isostearyl Isostearate | 4/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isostearyl-isostearate.html
Isostearyl Neopentanoate | 4/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/isostearyl-neopentanoate.html
Jasmine Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/jasmine-extract.html
Jojoba Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/jojoba-oil.html
Kale Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/kale-extract.html
Kaolin | 0/5 | Clay | FA-trigger: no | https://acnesafecheck.com/ingredient/kaolin.html
Keratin | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/keratin.html
Kojic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/kojic-acid.html
Kokum Butter | 1/5 | Butter | FA-trigger: yes | https://acnesafecheck.com/ingredient/kokum-butter.html
Lactic Acid | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/lactic-acid.html
Lactic Acid Bacteria | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/lactic-acid-bacteria.html
Lactobacillus Ferment | 0/5 | Botanical extract | FA-trigger: yes | https://acnesafecheck.com/ingredient/lactobacillus-ferment.html
Lactobionic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/lactobionic-acid.html
Laminaria Digitata Extract | 4/5 | Marine | FA-trigger: no | https://acnesafecheck.com/ingredient/laminaria-digitata-extract.html
Lanolin | 2/5 | Occlusive | FA-trigger: no | https://acnesafecheck.com/ingredient/lanolin.html
Lanolin Alcohol | 2/5 | Occlusive | FA-trigger: no | https://acnesafecheck.com/ingredient/lanolin-alcohol.html
Laureth-23 | 3/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/laureth-23.html
Laureth-4 | 5/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/laureth-4.html
Lauric Acid | 4/5 | Fatty acid | FA-trigger: yes | https://acnesafecheck.com/ingredient/lauric-acid.html
Lauryl Glucoside | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/lauryl-glucoside.html
Lavandula Angustifolia Flower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/lavandula-angustifolia-flower-extract.html
Lavender Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/lavender-extract.html
Lavender Oil | 1/5 | Essential oil | FA-trigger: no | https://acnesafecheck.com/ingredient/lavender-oil.html
Lecithin | 4/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/lecithin.html
Lemon Balm Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/lemon-balm-extract.html
Lemon Peel Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/lemon-peel-extract.html
Leontopodium Alpinum Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/leontopodium-alpinum-extract.html
Lettuce Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/lettuce-extract.html
Levulinic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/levulinic-acid.html
Licorice Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/licorice-root-extract.html
Limonene | 1/5 | Fragrance | FA-trigger: no | https://acnesafecheck.com/ingredient/limonene.html
Linalool | 1/5 | Fragrance | FA-trigger: no | https://acnesafecheck.com/ingredient/linalool.html
Linden Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/linden-extract.html
Linoleic Acid | 0/5 | Fatty acid | FA-trigger: yes | https://acnesafecheck.com/ingredient/linoleic-acid.html
Linseed / Flaxseed Oil | 4/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/linseed-flaxseed-oil.html
Lotus Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/lotus-extract.html
Macadamia Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/macadamia-oil.html
Madecassoside | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/madecassoside.html
Magnesium Ascorbyl Phosphate | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/magnesium-ascorbyl-phosphate.html
Magnesium Chloride | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/magnesium-chloride.html
Magnesium Stearate | 0/5 | Functional | FA-trigger: yes | https://acnesafecheck.com/ingredient/magnesium-stearate.html
Magnesium Sulfate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/magnesium-sulfate.html
Malic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/malic-acid.html
Mallow Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/mallow-extract.html
Maltodextrin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/maltodextrin.html
Mandarin Orange Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/mandarin-orange-extract.html
Mandelic Acid | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/mandelic-acid.html
Manganese PCA | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/manganese-pca.html
Mango Butter | 0/5 | Butter | FA-trigger: yes | https://acnesafecheck.com/ingredient/mango-butter.html
Mango Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/mango-extract.html
Manuka Honey | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/manuka-honey.html
Marigold Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/marigold-extract.html
Maritime Pine Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/maritime-pine-extract.html
Marshmallow Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/marshmallow-root-extract.html
Marula Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/marula-oil.html
Matcha Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/matcha-extract.html
Mate Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/mate-leaf-extract.html
Matrixyl | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/matrixyl.html
Meadowfoam Seed Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/meadowfoam-seed-oil.html
Melissa Officinalis Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/melissa-officinalis-leaf-extract.html
Methylparaben | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/methylparaben.html
Methylpropanediol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/methylpropanediol.html
Mica | 0/5 | Colorant | FA-trigger: no | https://acnesafecheck.com/ingredient/mica.html
Mineral Oil | 1/5 | Oil | FA-trigger: no | https://acnesafecheck.com/ingredient/mineral-oil.html
Mink Oil | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/mink-oil.html
Moringa Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/moringa-extract.html
Mugwort Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/mugwort-extract.html
Mushroom Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/mushroom-extract.html
Myristic Acid | 3/5 | Fatty acid | FA-trigger: yes | https://acnesafecheck.com/ingredient/myristic-acid.html
Myristyl Lactate | 4/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/myristyl-lactate.html
Myristyl Myristate | 5/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/myristyl-myristate.html
Myrrh Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/myrrh-extract.html
N-Acetyl Glucosamine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/n-acetyl-glucosamine.html
Neem Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/neem-extract.html
Nelumbo Nucifera Flower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/nelumbo-nucifera-flower-extract.html
Neroli Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/neroli-extract.html
Nettle Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/nettle-extract.html
Niacinamide | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/niacinamide.html
Nylon-12 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/nylon-12.html
Oak Bark Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/oak-bark-extract.html
Oat Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/oat-extract.html
Octinoxate | 1/5 | Sunscreen | FA-trigger: no | https://acnesafecheck.com/ingredient/octinoxate.html
Octocrylene | 1/5 | Sunscreen | FA-trigger: no | https://acnesafecheck.com/ingredient/octocrylene.html
Octyl Palmitate | 4/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/octyl-palmitate.html
Octyl Stearate | 5/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/octyl-stearate.html
Olea Europaea Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/olea-europaea-leaf-extract.html
Oleic Acid | 2/5 | Fatty acid | FA-trigger: yes | https://acnesafecheck.com/ingredient/oleic-acid.html
Oligopeptide-1 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/oligopeptide-1.html
Olive Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/olive-leaf-extract.html
Olive Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/olive-oil.html
Opuntia Ficus-Indica Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/opuntia-ficus-indica-extract.html
Orange Blossom Water | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/orange-blossom-water.html
Oregano Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/oregano-extract.html
Oryza Sativa Bran Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/oryza-sativa-bran-extract.html
p-Anisic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/p-anisic-acid.html
Palmitic Acid | 2/5 | Fatty acid | FA-trigger: yes | https://acnesafecheck.com/ingredient/palmitic-acid.html
Palmitoyl Hexapeptide-12 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/palmitoyl-hexapeptide-12.html
Palmitoyl Pentapeptide-4 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/palmitoyl-pentapeptide-4.html
Palmitoyl Tripeptide-1 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/palmitoyl-tripeptide-1.html
Palmitoyl Tripeptide-5 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/palmitoyl-tripeptide-5.html
Panax Ginseng Root Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/panax-ginseng-root-extract.html
Panthenol | 0/5 | Soothing | FA-trigger: no | https://acnesafecheck.com/ingredient/panthenol.html
Papaya Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/papaya-extract.html
Parsley Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/parsley-extract.html
PCA | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/pca.html
Peach Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/peach-extract.html
Peanut Oil | 2/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/peanut-oil.html
Pear Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/pear-extract.html
PEG-100 Stearate | 1/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/peg-100-stearate.html
PEG-150 Distearate | 1/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/peg-150-distearate.html
PEG-16 Lanolin | 4/5 | Emulsifier | FA-trigger: no | https://acnesafecheck.com/ingredient/peg-16-lanolin.html
PEG-40 Stearate | 1/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/peg-40-stearate.html
PEG-8 Stearate | 3/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/peg-8-stearate.html
Pentylene Glycol | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/pentylene-glycol.html
Peppermint Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/peppermint-leaf-extract.html
Peppermint Oil | 2/5 | Essential oil | FA-trigger: no | https://acnesafecheck.com/ingredient/peppermint-oil.html
Perlite | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/perlite.html
Petrolatum | 0/5 | Occlusive | FA-trigger: no | https://acnesafecheck.com/ingredient/petrolatum.html
Phenoxyethanol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/phenoxyethanol.html
Phenyl Trimethicone | 1/5 | Silicone | FA-trigger: no | https://acnesafecheck.com/ingredient/phenyl-trimethicone.html
Phytic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/phytic-acid.html
Phytic Acid Complex | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/phytic-acid-complex.html
Pine Bark Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/pine-bark-extract.html
Pineapple Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/pineapple-extract.html
Pinus Pinaster Bark Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/pinus-pinaster-bark-extract.html
Plantain Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/plantain-extract.html
Polyacrylate Crosspolymer-6 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/polyacrylate-crosspolymer-6.html
Polyethylene | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/polyethylene.html
Polyglutamic Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/polyglutamic-acid.html
Polyglyceryl-3 Diisostearate | 4/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/polyglyceryl-3-diisostearate.html
Polyhydroxy Acid | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/polyhydroxy-acid.html
Polymethylsilsesquioxane | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/polymethylsilsesquioxane.html
Polyquaternium-10 | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/polyquaternium-10.html
Polysorbate 20 | 0/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/polysorbate-20.html
Polysorbate 80 | 1/5 | Emulsifier | FA-trigger: yes | https://acnesafecheck.com/ingredient/polysorbate-80.html
Pomegranate Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/pomegranate-extract.html
Pomegranate Seed Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/pomegranate-seed-oil.html
Potassium Chloride | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/potassium-chloride.html
Potassium Sorbate | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/potassium-sorbate.html
PPG-2 Myristyl Ether Propionate | 3/5 | Ester | FA-trigger: yes | https://acnesafecheck.com/ingredient/ppg-2-myristyl-ether-propionate.html
Propanediol | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/propanediol.html
Propolis Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/propolis-extract.html
Propylene Glycol | 0/5 | Humectant | FA-trigger: no | https://acnesafecheck.com/ingredient/propylene-glycol.html
Propylparaben | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/propylparaben.html
Pullulan | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/pullulan.html
Pumpkin Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/pumpkin-extract.html
Punica Granatum Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/punica-granatum-extract.html
Pyridoxine | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/pyridoxine.html
Pyrus Malus Fruit Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/pyrus-malus-fruit-extract.html
Raspberry Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/raspberry-extract.html
Red Algae | 5/5 | Marine | FA-trigger: no | https://acnesafecheck.com/ingredient/red-algae.html
Red Clover Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/red-clover-extract.html
Reishi Mushroom Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/reishi-mushroom-extract.html
Resveratrol | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/resveratrol.html
Retinol | 1/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/retinol.html
Retinyl Palmitate | 2/5 | Active | FA-trigger: yes | https://acnesafecheck.com/ingredient/retinyl-palmitate.html
Riboflavin | 0/5 | Functional | FA-trigger: no | https://acnesafecheck.com/ingredient/riboflavin.html
Rice Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/rice-extract.html
Rooibos Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/rooibos-extract.html
Rosa Damascena Flower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/rosa-damascena-flower-extract.html
Rose Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/rose-extract.html
Rose Water | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/rose-water.html
Rosehip Oil | 1/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/rosehip-oil.html
Rosemary Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/rosemary-extract.html
Rosmarinus Officinalis Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/rosmarinus-officinalis-leaf-extract.html
Royal Jelly Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/royal-jelly-extract.html
Saccharomyces Ferment | 0/5 | Botanical extract | FA-trigger: yes | https://acnesafecheck.com/ingredient/saccharomyces-ferment.html
Safflower Oil | 0/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/safflower-oil.html
Sage Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/sage-extract.html
Salicylic Acid | 0/5 | Active | FA-trigger: no | https://acnesafecheck.com/ingredient/salicylic-acid.html
Salix Alba Bark Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/salix-alba-bark-extract.html
Salvia Officinalis Leaf Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/salvia-officinalis-leaf-extract.html
Sambucus Nigra Flower Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/sambucus-nigra-flower-extract.html
Sandalwood Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/sandalwood-extract.html
Sclerotium Gum | 0/5 | Thickener | FA-trigger: no | https://acnesafecheck.com/ingredient/sclerotium-gum.html
Sea Buckthorn Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/sea-buckthorn-extract.html
Sea Kelp Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/sea-kelp-extract.html
Sea Salt Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/sea-salt-extract.html
Seawater | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/seawater.html
Sesame Oil | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/sesame-oil.html
Shark Liver Oil | 3/5 | Oil | FA-trigger: yes | https://acnesafecheck.com/ingredient/shark-liver-oil.html
Shea Butter | 0/5 | Butter | FA-trigger: yes | https://acnesafecheck.com/ingredient/shea-butter.html
Shiitake Extract | 0/5 | Botanical extract | FA-trigger: no | https://acnesafecheck.com/ingredient/shiitake-extract.html
